---------Start of Path-------------------,8529593
3,5,70,137.5,8529593
2,6,50,162.5,8529593
2,7,50,187.5,8529593
3,8,70,212.5,8529593
4,9,90,237.5,8529593
5,10,110,262.5,8529593
6,11,130,287.5,8529593
7,12,150,312.5,8529593
8,13,170,337.5,8529593
9,14,190,362.5,8529593
10,15,210,387.5,8529593
11,16,230,412.5,8529593
12,16,250,412.5,8529593
13,16,270,412.5,8529593
---------End of Path-------------------,8529593
