0.2,212.485666782019,292.927,272639156
0,504.734317807464,100.7782,455825859
0.14,531.861047009201,112.0547,455838343
0.225,597.829804634872,88.06957,455852203
0,487.829804634872,100.7782,456432953
0.15,487.829804634872,100.7782,456551328
0.3,592.751698699051,88.06957,456578734
0,492.718696620299,100.7782,456730453
0.13,507.829804634872,112.0547,456744781
0.237,507.829804634872,112.0547,456755125
0,499.845425822036,80.03905,1590290062
0.251,578.798562260544,63.29494,1590394234
0,512.829804634872,80.03905,1155359078
0.3,604.767319886215,63.29494,1155518828
0.3,553.798562260544,88.06957,1155607250
0.3,615.814183447708,63.29494,1155840531
0.3,590.814183447708,63.29494,1155985296
0.3,488.610636279333,312.5,1156376656
0,504.845425822036,80.03905,-2103625671
0,549.734317807464,69.32713,-2103552687
0.1,580.240566831206,62.5,-2103529703
0,528.224945644042,264.2087,925031
0,522.718696620299,140.5569,13952718
0,223.720456324722,249.1109,77940093
0,415.814183447708,154.2927,78092343
0.04,371.782941073379,154.2927,78113031
0.146,491.131218521056,112.9436,78119375
0.103,465.162460895385,116.4313,78131609
0.018,403.720456324722,144.0703,88427578
0,449.767319886215,144.0703,448078
0.034,431.782941073379,144.0703,483187
0.112,464.193703269713,125.5239,491687
0.195,464.193703269713,125.5239,501687
0.26,464.193703269713,125.5239,509625
0.296,1262.41239989001,125.5239,515406
0,417.751698699051,144.0703,2723546
0,416.782941073379,154.2927,8529593
